Randolf wears one skirt and that mother of Marcus wears at least as many white skirt . <eos>	[5.545644283294678, 5.360159873962402, 3.824857234954834, 3.703824281692505, 3.3856468200683594, 4.1902618408203125, 5.244014739990234, 4.79781436920166, 4.682974815368652, 4.635748863220215, 3.826127529144287, 3.628366470336914, 3.976667881011963, 3.8903801441192627, 3.6910829544067383, 5.362729072570801, 5.204218864440918, 3.2731477972447465e-07]	[2.5537118911743164, 12.572961807250977, 5.85637092590332, 7.462353706359863, 1.9780340194702148, 6.042078018188477, 9.985713958740234, 4.677675247192383, 10.605684280395508, 6.514888763427734, 6.200111389160156, 2.110757827758789, 4.416969299316406, 1.8904657363891602, 5.7169599533081055, 10.74337387084961, 3.746835708618164, -0.0]	Randolf wears one lost skirt and that mother of Marcus wears at least as many white . <eos>	[4.988274574279785, 6.399275302886963, 3.515080690383911, 3.3686318397521973, 6.31859016418457, 3.1178083419799805, 4.8673553466796875, 4.990665435791016, 4.548535346984863, 4.960442543029785, 4.512235641479492, 3.6100552082061768, 3.612131118774414, 3.931741237640381, 3.7935197353363037, 3.731729030609131, 5.253116607666016, 3.2694947549316566e-07]	[2.94036865234375, 10.342098236083984, 5.645769119262695, 13.26891803741455, 6.425250053405762, 1.562154769897461, 6.031633377075195, 10.288707733154297, 5.12602424621582, 10.442404747009277, 6.171710014343262, 6.3231611251831055, 1.8826847076416016, 4.194738388061523, 1.915151596069336, 6.064199447631836, 5.1593475341796875, -0.0]
Diana has n't escaped from a lot of waiters and Samuel has n't escaped from a few nice waiters . <eos>	[4.988646507263184, 5.290112495422363, 4.9634552001953125, 4.594247817993164, 3.782175064086914, 3.854814052581787, 7.0495100021362305, 1.0587186813354492, 6.955619812011719, 5.126461029052734, 5.709023475646973, 4.415149211883545, 5.220803737640381, 4.830824851989746, 3.4995596408843994, 3.756582021713257, 6.919437408447266, 5.317363262176514, 5.9589033126831055, 4.4318060874938965, 2.8919001238136843e-07]	[10.608538627624512, 3.796255111694336, 7.192096710205078, 6.842197418212891, 1.6143951416015625, 2.7713470458984375, 8.006183624267578, 0.18597030639648438, 3.4670629501342773, 2.3680076599121094, 13.790249824523926, 2.4227294921875, 5.375272750854492, 5.653853416442871, 1.7718143463134766, 2.572324752807617, 5.715090751647949, 11.826151847839355, 3.6041088104248047, 1.3319330215454102, -0.0]	Diana has n't escaped from a lot of unsure waiters and Samuel has n't escaped from a few nice . <eos>	[4.992639541625977, 5.288308143615723, 4.961318016052246, 4.592815399169922, 3.781916379928589, 3.8562514781951904, 7.0498366355896, 1.0582666397094727, 6.9557600021362305, 5.306805610656738, 4.137494087219238, 5.5231194496154785, 4.737170696258545, 5.240242958068848, 4.8780198097229, 3.5413341522216797, 3.695742607116699, 6.890460014343262, 5.082797050476074, 5.881738662719727, 3.2385884196628467e-07]	[10.60495376586914, 3.7957820892333984, 7.190631866455078, 6.840063095092773, 1.6147499084472656, 2.7722349166870117, 8.002337455749512, 0.1858501434326172, 13.655228614807129, 4.063472747802734, 2.237595558166504, 13.251214981079102, 2.288534164428711, 5.192202568054199, 5.829578399658203, 1.8682222366333008, 2.6603097915649414, 5.769975662231445, 11.751511573791504, 6.45196533203125, -0.0]
Jerry visited many lawyers and Elizabeth 's girlfriend visited few unemployed lawyers . <eos>	[4.994470596313477, 5.980951309204102, 5.750839710235596, 5.331015110015869, 3.007408380508423, 6.44346809387207, 5.852938652038574, 5.912867546081543, 4.438243865966797, 4.642963409423828, 5.096389293670654, 5.103976726531982, 2.6446588039398193, 2.6818025844477233e-07]	[9.949529647827148, 11.646610260009766, 6.711021423339844, 11.327608108520508, 1.7809906005859375, 12.310120582580566, 2.7796411514282227, 6.937590599060059, 9.3153715133667, 12.05562973022461, 12.121140480041504, 7.341179847717285, 1.5706520080566406, -0.0]	Jerry visited many ill lawyers and Elizabeth 's girlfriend visited few unemployed . <eos>	[4.991022109985352, 5.982247352600098, 5.754713535308838, 5.330801010131836, 4.47125244140625, 3.013007164001465, 6.182204246520996, 5.879830360412598, 5.8217878341674805, 4.366721153259277, 4.647651195526123, 5.159507751464844, 4.921213150024414, 2.8040665256412467e-07]	[9.951292991638184, 11.642881393432617, 6.709146499633789, 11.834840774536133, 9.213979721069336, 1.6936836242675781, 11.310922622680664, 2.661931037902832, 6.849434852600098, 9.415802001953125, 12.164579391479492, 11.928160667419434, 2.3878231048583984, -0.0]
Many governments referenced one newspaper article and a girl 's colleague referenced few big newspaper article . <eos>	[4.9906206130981445, 5.783355712890625, 4.808723449707031, 4.193601131439209, 3.044029712677002, 4.35506010055542, 3.3376810550689697, 5.889525890350342, 6.130290985107422, 4.815394878387451, 6.743412017822266, 4.609047889709473, 3.6274123191833496, 4.482064723968506, 6.087594985961914, 3.5837597846984863, 5.243630409240723, 2.7976264505014115e-07]	[5.545907974243164, 7.592804908752441, 12.990750312805176, 6.286109924316406, 10.407691955566406, 2.1746864318847656, 3.4781007766723633, 2.7032947540283203, 10.822660446166992, 1.8303194046020508, 9.010906219482422, 11.933565139770508, 10.747499465942383, 10.28786849975586, 6.455827713012695, 7.126582145690918, 2.8466978073120117, -0.0]	Many governments referenced one concealed newspaper article and a girl 's colleague referenced few big . <eos>	[4.9908905029296875, 5.776074409484863, 4.8079833984375, 4.193819046020508, 3.045016288757324, 5.720041275024414, 4.296751499176025, 3.6646065711975098, 6.10495662689209, 6.663983345031738, 4.798904895782471, 6.973151683807373, 4.518183708190918, 3.4608211517333984, 4.171872138977051, 6.2897725105285645, 3.150541374452587e-07]	[5.545546531677246, 7.593654632568359, 12.991144180297852, 6.282719612121582, 13.787105560302734, 11.541410446166992, 4.608631134033203, 3.158061981201172, 2.3125743865966797, 10.676824569702148, 1.7342443466186523, 9.608107566833496, 12.342275619506836, 10.955554008483887, 10.479291915893555, 6.219294548034668, -0.0]
The senator tours no high schools and Clyde 's podiatrist tours some popular high schools . <eos>	[4.992136001586914, 7.80422306060791, 4.558218002319336, 4.50316047668457, 5.950669288635254, 5.657061576843262, 2.906956911087036, 4.994606971740723, 4.447491645812988, 7.124579429626465, 6.944496154785156, 4.512759685516357, 4.930906295776367, 5.930227279663086, 0.8723942041397095, 3.120789051055908, 2.684371906980232e-07]	[1.717778205871582, 10.972890853881836, 13.581599235534668, 8.48355484008789, 8.871381759643555, 4.868255615234375, 2.3793716430664062, 15.528505325317383, 3.9549102783203125, 3.9113969802856445, 6.999027252197266, 7.760735511779785, 9.574894905090332, 5.5716657638549805, 1.4348945617675781, 1.700754165649414, -0.0]	The senator tours no messy high schools and Clyde 's podiatrist tours some popular . <eos>	[4.989449501037598, 7.805810928344727, 4.556979179382324, 4.50400447845459, 5.951306343078613, 7.104475021362305, 5.63327169418335, 2.9743452072143555, 5.518017768859863, 4.918159484863281, 7.494022846221924, 7.226342678070068, 4.16958475112915, 4.946929931640625, 6.21225643157959, 2.831390304436354e-07]	[1.711599349975586, 10.972227096557617, 13.577068328857422, 8.483735084533691, 15.384993553161621, 10.288955688476562, 5.230268478393555, 2.607844352722168, 15.694446563720703, 2.995210647583008, 3.9307193756103516, 8.217019081115723, 8.1094388961792, 9.922160148620605, 5.9278669357299805, -0.0]
Karen escaped from one daughter and those nieces of Jerry escaped from three exposed daughter . <eos>	[4.989702224731445, 6.111658096313477, 3.7613067626953125, 3.617290496826172, 2.912710666656494, 3.2852206230163574, 5.864184379577637, 5.172717094421387, 2.5055315494537354, 4.505051612854004, 2.7154295444488525, 3.1490261554718018, 3.416759967803955, 6.026764869689941, 6.7385759353637695, 4.73151159286499, 2.9118143629602855e-07]	[10.573042869567871, 9.858564376831055, 1.7575511932373047, 6.614141464233398, 10.36076545715332, 2.18961238861084, 10.92156982421875, 9.197632789611816, 5.292436599731445, 8.554605484008789, 12.988950729370117, 2.0504770278930664, 8.157292366027832, 7.941641807556152, 10.786553382873535, 2.8599462509155273, -0.0]	Karen escaped from one smart daughter and those nieces of Jerry escaped from three exposed . <eos>	[4.9902520179748535, 6.111515045166016, 3.760031223297119, 3.616988182067871, 2.9117109775543213, 5.510202884674072, 3.5162014961242676, 6.076452255249023, 4.672263145446777, 2.457371711730957, 4.524136543273926, 2.704824924468994, 3.1396231651306152, 3.3815743923187256, 6.189907073974609, 6.721821308135986, 3.227943921046972e-07]	[10.562568664550781, 9.852995872497559, 1.7574234008789062, 6.612957954406738, 13.570314407348633, 8.724373817443848, 2.0850324630737305, 10.636362075805664, 10.155008316040039, 5.081460952758789, 8.039504051208496, 12.679683685302734, 2.0949459075927734, 8.418997764587402, 7.937864303588867, 7.214994430541992, -0.0]
Winston Churchill helped one grandfather of and all students helped few fast grandfather of . <eos>	[4.992999076843262, 1.9269695281982422, 4.767447471618652, 4.8652801513671875, 3.0128393173217773, 5.113907814025879, 4.2229905128479, 5.535760879516602, 3.753607749938965, 3.694122791290283, 4.656753063201904, 5.315214157104492, 5.540538787841797, 5.046952247619629, 4.618642330169678, 2.846301185854827e-07]	[10.910809516906738, 0.2705345153808594, 7.186030387878418, 7.986125946044922, 13.591132164001465, 1.8260765075683594, 8.812539100646973, 5.150367736816406, 6.640901565551758, 7.880884170532227, 12.791658401489258, 10.245260238647461, 14.950968742370605, 2.7945680618286133, 8.923298835754395, -0.0]	Winston Churchill helped one exposed grandfather of and all students helped few fast . <eos>	[4.992326736450195, 1.9188629388809204, 4.768044471740723, 4.865288734436035, 3.0141448974609375, 4.752758979797363, 2.95764422416687, 5.396411895751953, 6.291538238525391, 4.409611701965332, 3.539323091506958, 4.276679039001465, 5.31818962097168, 5.697422981262207, 2.9559276981672156e-07]	[10.886580467224121, 0.2689838409423828, 7.178445816040039, 7.986300945281982, 13.564055442810059, 13.981801986694336, 1.8590641021728516, 9.0554838180542, 6.568781852722168, 7.987387657165527, 8.966238975524902, 12.55027961730957, 10.618608474731445, 3.7180233001708984, -0.0]
Brenda 's colleague discusses three stories about and Todd 's employee discusses almost as many bad stories about . <eos>	[4.99302864074707, 5.991228103637695, 5.566235542297363, 5.56327486038208, 4.033412933349609, 5.865516662597656, 3.675532817840576, 4.328929901123047, 5.881540298461914, 3.3113417625427246, 5.092371940612793, 4.8292036056518555, 4.038476467132568, 4.260937690734863, 4.050736427307129, 3.921814441680908, 5.184569835662842, 0.7808042764663696, 5.138894081115723, 2.74910320285926e-07]	[11.37647533416748, 3.5448827743530273, 9.354948043823242, 11.777971267700195, 7.1800127029418945, 4.3213911056518555, 1.855600357055664, 7.640793800354004, 10.618972778320312, 0.536097526550293, 11.717686653137207, 10.94770622253418, 9.81760311126709, 2.3123979568481445, 2.167527198791504, 10.009209632873535, 3.6042327880859375, 4.134258270263672, 4.679551124572754, -0.0]	Brenda 's colleague discusses three good stories about and Todd 's employee discusses almost as many bad . <eos>	[4.9898529052734375, 5.988824367523193, 5.568392753601074, 5.56584358215332, 4.032662391662598, 5.865327835083008, 6.227856636047363, 3.485788345336914, 4.602336406707764, 5.996746063232422, 4.035727024078369, 5.297865867614746, 4.797846794128418, 3.9298179149627686, 4.056784152984619, 3.6698832511901855, 4.247814655303955, 5.173322677612305, 2.8276016905692813e-07]	[11.380970001220703, 3.5422754287719727, 9.351763725280762, 11.776927947998047, 7.180424690246582, 8.726058959960938, 3.6472415924072266, 1.9756202697753906, 6.773672103881836, 10.328550338745117, 0.7779664993286133, 11.547136306762695, 10.62088680267334, 9.702741622924805, 2.7901229858398438, 2.0628108978271484, 9.671365737915039, 6.424469947814941, -0.0]
The Clintons were messing up no high schools and Mary is n't messing up some smooth high schools . <eos>	[4.990489959716797, 7.803375720977783, 7.106168746948242, 6.432821273803711, 5.220794200897217, 3.2121503353118896, 4.628908157348633, 5.325294494628906, 3.257129669189453, 5.7934794425964355, 5.9869279861450195, 5.324408531188965, 5.8885498046875, 3.720722198486328, 3.10733699798584, 5.467515468597412, 6.386183738708496, 2.678569793701172, 3.0080041885375977, 2.690979385988612e-07]	[1.7151947021484375, 2.9973325729370117, 4.130856513977051, 4.077995300292969, 5.910391807556152, 11.534585952758789, 8.762266159057617, 6.054821014404297, 2.1972599029541016, 10.922927856445312, 4.768701553344727, 4.443940162658691, 4.227933883666992, 6.609549522399902, 9.011148452758789, 11.95673942565918, 7.194902420043945, 5.040358543395996, 1.1943817138671875, -0.0]	The Clintons were messing up no concealed high schools and Mary is n't messing up some smooth . <eos>	[4.988006114959717, 7.804913520812988, 7.104704856872559, 6.433342933654785, 5.222053527832031, 3.2117996215820312, 4.630232334136963, 6.243414402008057, 5.480447292327881, 3.410027265548706, 6.03696870803833, 5.538174152374268, 5.53346061706543, 5.94187593460083, 3.788254976272583, 3.1211445331573486, 5.676069259643555, 6.338014602661133, 2.970358536913409e-07]	[1.7133331298828125, 2.9985055923461914, 4.129848480224609, 4.078274726867676, 5.911133766174316, 11.53612232208252, 13.405304908752441, 8.675881385803223, 7.114959716796875, 2.282041549682617, 11.262483596801758, 4.81365966796875, 4.592820167541504, 4.002599716186523, 6.320539474487305, 8.924295425415039, 11.809377670288086, 4.563048362731934, -0.0]
Alexander has brought one window and Richard 's students have brought some smooth window . <eos>	[4.990514755249023, 5.817444801330566, 4.905065536499023, 4.979398727416992, 3.564765453338623, 3.515094041824341, 4.038101673126221, 6.794366359710693, 7.355086803436279, 5.189353942871094, 5.417835712432861, 4.450599670410156, 5.770224571228027, 6.164918899536133, 5.246998310089111, 2.9788080269099737e-07]	[8.75979995727539, 5.443129539489746, 7.0258941650390625, 5.89324951171875, 9.931278228759766, 3.3435287475585938, 11.768936157226562, 2.6293249130249023, 8.992050170898438, 4.474372863769531, 6.156447410583496, 5.1553955078125, 13.544938087463379, 7.389744281768799, 3.231595993041992, -0.0]	Alexander has brought one small window and Richard 's students have brought some smooth . <eos>	[4.987660884857178, 5.8172807693481445, 4.905280113220215, 4.9803667068481445, 3.566293478012085, 6.744906902313232, 3.776434898376465, 4.584856986999512, 6.265454292297363, 7.006163597106934, 4.5186262130737305, 5.31219482421875, 4.417255401611328, 5.816827297210693, 6.168614387512207, 2.9967551995468966e-07]	[8.763283729553223, 5.439411163330078, 7.023378372192383, 5.892955780029297, 7.809114933013916, 7.3844780921936035, 2.940279960632324, 11.009523391723633, 2.258429527282715, 9.29987907409668, 5.327029228210449, 6.170969009399414, 5.2811384201049805, 13.412909507751465, 5.617414474487305, -0.0]
Those senators were n't wearing a few coats and some driver is n't wearing a lot bad coats . <eos>	[4.99161434173584, 5.723014831542969, 4.970790386199951, 5.796104431152344, 5.208617687225342, 4.613796234130859, 5.579720497131348, 6.207646369934082, 1.9520387649536133, 5.2776384353637695, 5.336388111114502, 4.878963470458984, 5.996493339538574, 5.682086944580078, 4.522550582885742, 4.950678825378418, 1.74360191822052, 4.832370281219482, 2.2796998023986816, 2.762040196557791e-07]	[7.473176002502441, 9.536246299743652, 2.576122283935547, 7.284150123596191, 8.741043090820312, 2.3426103591918945, 8.700209617614746, 4.973793983459473, 3.2736759185791016, 5.583086013793945, 11.05520248413086, 6.433254241943359, 5.521183013916016, 2.500990867614746, 1.7334423065185547, 9.987648963928223, 12.839564323425293, 6.0152387619018555, 0.6827239990234375, -0.0]	Those senators were n't wearing a few hard coats and some driver is n't wearing a lot bad . <eos>	[4.990591526031494, 5.728860855102539, 4.971870422363281, 5.795559406280518, 5.206786155700684, 4.615363121032715, 5.578680992126465, 6.207476615905762, 1.4878239631652832, 2.885275363922119, 5.681522846221924, 5.716526985168457, 4.981406211853027, 6.003164291381836, 5.796903610229492, 4.568216323852539, 5.054013252258301, 1.647610068321228, 4.9923624992370605, 2.880342151456716e-07]	[7.471088409423828, 9.543675422668457, 2.5774154663085938, 7.2859601974487305, 8.739580154418945, 2.3431386947631836, 8.702740669250488, 8.17051887512207, 6.469709396362305, 2.553959846496582, 4.931989669799805, 10.914874076843262, 7.102158546447754, 5.309465408325195, 2.894481658935547, 1.6962156295776367, 9.534127235412598, 12.63978385925293, 2.4487838745117188, -0.0]
Monet kisses one girlfriend and a son of Sherry kisses a few clever girlfriend . <eos>	[4.991456031799316, 4.65310525894165, 2.9554567337036133, 2.4649124145507812, 2.7410058975219727, 5.516493797302246, 5.972691535949707, 3.9821648597717285, 5.123080253601074, 3.7764673233032227, 2.4443469047546387, 5.008479118347168, 5.494449615478516, 6.109467029571533, 5.308925628662109, 2.8489432679634774e-07]	[12.344985961914062, 9.601908683776855, 6.722738265991211, 12.32457447052002, 1.1026172637939453, 5.856845855712891, 4.977350234985352, 4.954901695251465, 9.539030075073242, 9.975870132446289, 4.726250648498535, 7.750006675720215, 9.90577507019043, 11.450874328613281, 2.0859642028808594, -0.0]	Monet kisses one happy girlfriend and a son of Sherry kisses a few clever . <eos>	[4.99287223815918, 4.653339385986328, 2.9544596672058105, 2.465113639831543, 4.907122611999512, 3.1477906703948975, 5.7411723136901855, 6.287480354309082, 3.9144089221954346, 5.193819999694824, 3.759232759475708, 2.5437159538269043, 4.508333206176758, 5.6743974685668945, 6.114723205566406, 2.958170739475463e-07]	[12.316971778869629, 9.595124244689941, 6.723482131958008, 9.858829498291016, 9.099271774291992, 1.7795753479003906, 5.776833534240723, 5.181159019470215, 4.472993850708008, 9.393152236938477, 10.210290908813477, 4.420027732849121, 8.198590278625488, 9.55341911315918, 4.906912803649902, -0.0]
Bill wo n't forget one teacher and Wendy wo n't forget five serious teacher . <eos>	[4.993956565856934, 6.073357582092285, 0.07724025845527649, 4.729229927062988, 3.8840832710266113, 3.676602840423584, 3.995897054672241, 5.307456970214844, 3.8737359046936035, 0.17470401525497437, 4.693725109100342, 3.562959909439087, 4.1735124588012695, 5.472412109375, 6.000144958496094, 2.916277423992142e-07]	[8.779703140258789, 11.237436294555664, 0.011922836303710938, 5.049019813537598, 6.309708595275879, 10.875574111938477, 2.6452884674072266, 9.19583797454834, 4.910159111022949, 0.028963088989257812, 4.875796318054199, 9.607120513916016, 8.928915023803711, 11.44658088684082, 3.76981258392334, -0.0]	Bill wo n't forget one unconvinced teacher and Wendy wo n't forget five serious . <eos>	[4.994781494140625, 6.072237491607666, 0.07730339467525482, 4.727807998657227, 3.8842575550079346, 3.67637038230896, 4.257688999176025, 4.040111064910889, 5.782576084136963, 4.165196418762207, 0.19493785500526428, 4.797737121582031, 3.6251220703125, 4.084580421447754, 5.424057483673096, 3.061142592741817e-07]	[8.775074005126953, 11.242819786071777, 0.011930465698242188, 5.052092552185059, 6.310014724731445, 17.497087478637695, 11.542521476745605, 2.442169189453125, 9.168676376342773, 5.572678565979004, 0.03359794616699219, 5.165326118469238, 9.734838485717773, 8.948516845703125, 5.557024955749512, -0.0]
Christine has n't toured no glaciers and Samuel has n't toured some red glaciers . <eos>	[4.993649005889893, 5.643754959106445, 4.854952812194824, 4.919261932373047, 3.9727771282196045, 5.197643280029297, 3.3195815086364746, 5.171321392059326, 5.530282497406006, 5.2856621742248535, 5.160358428955078, 3.9774417877197266, 4.655755519866943, 6.470954418182373, 3.0071139335632324, 2.831001211234252e-07]	[10.941319465637207, 3.9418840408325195, 6.886416435241699, 8.829924583435059, 11.28874397277832, 13.39891529083252, 3.018239974975586, 14.42837142944336, 2.4217891693115234, 6.0012712478637695, 8.241023063659668, 7.4839982986450195, 11.055601119995117, 7.7373948097229, 1.1996288299560547, -0.0]	Christine has n't toured no gray glaciers and Samuel has n't toured some red . <eos>	[4.989526271820068, 5.6407551765441895, 4.8549346923828125, 4.919897079467773, 3.972663402557373, 5.196381092071533, 5.234409809112549, 3.227358102798462, 5.003672122955322, 5.621265411376953, 4.973506927490234, 4.897871494293213, 3.915031909942627, 4.682004451751709, 6.476018905639648, 2.9975797133374726e-07]	[10.945138931274414, 3.9392547607421875, 6.888439178466797, 8.82708740234375, 11.288324356079102, 13.975223541259766, 13.434483528137207, 3.147688865661621, 14.068961143493652, 2.848599433898926, 5.681397438049316, 8.762154579162598, 7.323343276977539, 10.850640296936035, 3.764828681945801, -0.0]
Monica 's nephews could complain about three plumbers and Kristen could complain about more content plumbers . <eos>	[4.9898786544799805, 5.782198905944824, 6.6017069816589355, 4.158383846282959, 3.383574962615967, 2.866084098815918, 4.070448875427246, 5.715884208679199, 6.114720344543457, 5.605091094970703, 3.483156204223633, 3.3727338314056396, 2.31028151512146, 4.068987846374512, 3.74652099609375, 2.8239049911499023, 4.374505996704102, 2.6773557237902423e-07]	[11.834819793701172, 2.9600658416748047, 10.037592887878418, 6.493623733520508, 10.844965934753418, 1.3981056213378906, 8.285282135009766, 3.432816505432129, 2.9427270889282227, 11.57558822631836, 5.440464973449707, 9.09106159210205, 0.6828136444091797, 7.151519775390625, 9.835441589355469, 7.3181304931640625, 1.619985580444336, -0.0]	Monica 's nephews could complain about three big plumbers and Kristen could complain about more content . <eos>	[4.988480567932129, 5.784767150878906, 6.6038641929626465, 4.152839183807373, 3.382732391357422, 2.865614891052246, 4.070738792419434, 5.71690034866333, 6.666444778442383, 5.626971244812012, 6.45340633392334, 3.531269073486328, 3.7430479526519775, 2.5044994354248047, 4.0544610023498535, 4.8379621505737305, 2.753112316131592, 2.7268919211564935e-07]	[11.836915969848633, 2.9572811126708984, 10.038131713867188, 6.498882293701172, 10.84521198272705, 1.3963165283203125, 8.28642463684082, 7.599590301513672, 2.560260772705078, 2.6344261169433594, 12.155393600463867, 5.464712142944336, 8.659029006958008, 0.8079833984375, 7.425687313079834, 9.523660659790039, 1.0723934173583984, -0.0]
Julia did n't lift one movie theater and Nicole did n't lift a few hard movie theater . <eos>	[4.990237236022949, 6.122437477111816, 1.4471536874771118, 4.803378105163574, 3.2541232109069824, 2.8845458030700684, 4.168292999267578, 4.5134196281433105, 5.694363117218018, 5.682686805725098, 1.817075490951538, 4.32653284072876, 3.0988049507141113, 6.787046909332275, 5.371076583862305, 5.189668655395508, 4.783917427062988, 5.957794189453125, 2.983163653880183e-07]	[10.303691864013672, 6.093472480773926, 2.0770578384399414, 10.253124237060547, 6.428458213806152, 10.77505874633789, 9.000743865966797, 3.0077381134033203, 13.18657398223877, 3.29280948638916, 0.6228599548339844, 9.905269622802734, 3.4119186401367188, 6.361324310302734, 8.721786499023438, 7.051580429077148, 6.583266258239746, 4.550233840942383, -0.0]	Julia did n't lift one dirty movie theater and Nicole did n't lift a few hard . <eos>	[4.987826824188232, 6.124417304992676, 1.4457275867462158, 4.8032684326171875, 3.254119873046875, 2.8842694759368896, 6.236401081085205, 3.7543764114379883, 4.10164213180542, 5.90955924987793, 5.67678689956665, 1.5394179821014404, 4.430443286895752, 3.0704751014709473, 6.608036994934082, 5.5009965896606445, 5.283312797546387, 3.0145807272674574e-07]	[10.307571411132812, 6.093733787536621, 2.077005386352539, 10.252735137939453, 6.4289350509643555, 13.109171867370605, 9.020816802978516, 9.002626419067383, 2.8615617752075195, 13.059669494628906, 3.7209548950195312, 0.4533863067626953, 9.551863670349121, 3.474919319152832, 6.808881759643555, 8.614816665649414, 5.755194664001465, -0.0]
Victoria had hugged one son and Donald had hugged three old son . <eos>	[4.991696357727051, 5.6263604164123535, 5.166035175323486, 6.752262592315674, 4.358775615692139, 2.8774209022521973, 3.1350207328796387, 6.000555038452148, 5.068445682525635, 5.477374076843262, 3.770207643508911, 5.455533981323242, 4.044269561767578, 2.77296692274831e-07]	[9.83591079711914, 4.1012067794799805, 4.644606590270996, 8.249120712280273, 5.08929443359375, 2.078289031982422, 10.674095153808594, 4.06266975402832, 3.9393272399902344, 6.963836669921875, 9.509769439697266, 7.108551025390625, 2.3449745178222656, -0.0]	Victoria had hugged one serious son and Donald had hugged three old . <eos>	[4.990802764892578, 5.6239495277404785, 5.167847633361816, 6.753933906555176, 4.360526084899902, 6.525832176208496, 2.8959150314331055, 4.31419563293457, 6.001585006713867, 5.108917236328125, 5.669501781463623, 3.598599910736084, 5.530755043029785, 2.8702370968858304e-07]	[9.848264694213867, 4.10350227355957, 4.647031784057617, 8.252096176147461, 10.09233283996582, 6.492036819458008, 2.632122039794922, 10.574618339538574, 3.316025733947754, 3.7624588012695312, 7.183138370513916, 9.373032569885254, 6.167496681213379, -0.0]
Carmen drops by one college campus and the boy drops by two out in the open college campus . <eos>	[4.992973804473877, 5.195348739624023, 4.291997909545898, 5.925583839416504, 4.146006107330322, 4.15739631652832, 3.189358711242676, 5.990839958190918, 6.683663368225098, 5.217298984527588, 3.694392442703247, 5.3236188888549805, 5.110459327697754, 0.4134652316570282, 3.074432373046875, 5.622520923614502, 4.715770721435547, 4.154493808746338, 2.6637353897094727, 2.8718261546600843e-07]	[11.690685272216797, 11.066423416137695, 6.641390800476074, 4.893123626708984, 10.96751594543457, 7.932836532592773, 2.1902084350585938, 3.85284423828125, 5.731813430786133, 7.702666282653809, 6.730242729187012, 4.964463233947754, 7.038318634033203, 6.613983154296875, 1.159977912902832, 6.470005035400391, 11.120462417602539, 6.658707618713379, 1.0865802764892578, -0.0]	Carmen drops by one dirty college campus and the boy drops by two out in the open . <eos>	[4.988037586212158, 5.193173408508301, 4.293621063232422, 5.927115440368652, 4.14263916015625, 5.691096305847168, 4.298624038696289, 3.366734027862549, 6.022369384765625, 6.762553691864014, 5.189075469970703, 3.6535000801086426, 5.250870704650879, 5.093620777130127, 0.4188738465309143, 3.030550956726074, 5.661972522735596, 4.635083198547363, 3.118645111044316e-07]	[11.695268630981445, 11.064502716064453, 6.642046928405762, 4.895059585571289, 12.831548690795898, 10.193190574645996, 7.84776496887207, 2.3530797958374023, 3.630011558532715, 5.528918266296387, 7.446093559265137, 6.822561264038086, 5.07794189453125, 6.93918514251709, 6.65545654296875, 1.1479787826538086, 6.344128608703613, 1.7079181671142578, -0.0]
These fathers of Ronald leave three supervisors and the Lutherans ' teachers leave fewer content supervisors . <eos>	[4.9885640144348145, 7.001430988311768, 5.076502799987793, 5.93369197845459, 4.996356010437012, 4.981770038604736, 5.9451069831848145, 3.838108539581299, 3.4454421997070312, 5.069240570068359, 3.989527463912964, 6.576733589172363, 3.389549732208252, 3.8689990043640137, 5.2763800621032715, 3.582974433898926, 3.3700709342956543, 2.797885940708511e-07]	[4.8426666259765625, 12.94080638885498, 5.404335021972656, 13.231118202209473, 12.945323944091797, 6.774483680725098, 13.151244163513184, 2.483626365661621, 3.568544387817383, 14.923162460327148, 5.134160995483398, 7.378697872161865, 8.973267555236816, 10.068341255187988, 13.160932540893555, 12.845935821533203, 1.3497695922851562, -0.0]	These fathers of Ronald leave three hidden supervisors and the Lutherans ' teachers leave fewer content . <eos>	[4.991116046905518, 6.99742317199707, 5.076652526855469, 5.932987689971924, 4.996085166931152, 4.981745719909668, 5.945827960968018, 6.52430534362793, 3.814852476119995, 5.860422134399414, 5.271589756011963, 3.784689426422119, 6.891480445861816, 3.196384906768799, 3.851010322570801, 5.7179484367370605, 3.4198741912841797, 2.891179917696718e-07]	[4.845708847045898, 12.946304321289062, 5.407255172729492, 13.235247611999512, 12.947193145751953, 6.775001049041748, 9.231332778930664, 14.45981216430664, 2.865386962890625, 2.8648204803466797, 14.73299789428711, 4.670008659362793, 8.133085250854492, 9.693657875061035, 11.81551742553711, 12.831629753112793, 1.411306381225586, -0.0]
